9	U69242	11/14/2019 11:15:08 AM	N22385 N3467 N4512 N14800 N2432 N1181 N26676 N1360 N3901 N17579 N16305 N14065 N25054 N5338 N15308 N7125 N7902 N2368	N2818-0 N17978-0 N13646-0 N15605-0 N27918-0 N10729-0 N25581-0 N24915-0 N5563-0 N21146-0 N15272-0 N27776-0 N19242-0 N20741-0 N13390-0 N17839-0 N2185-0 N9288-0 N18616-0 N22794-0 N16348-0 N17157-0 N9870-0 N2230-0 N10646-0 N22379-0 N27098-0 N12954-0 N13316-0 N13957-0 N24501-0 N13422-0 N19671-0 N1570-0 N3864-0 N13247-0 N24753-0 N427-0 N18892-0 N9133-1 N22351-0 N21521-0 N6221-0 N23842-0 N8173-0 N23149-0 N22532-0 N11446-0 N14797-0 N19871-0 N16108-0 N1756-0 N26998-0 N8849-0 N22937-0 N12833-0 N27981-0 N17171-0 N18342-0 N17492-0 N17998-0 N28275-0 N8787-0 N23772-0 N9314-0 N17649-0 N15467-0 N4802-0 N18087-0 N4022-0 N23591-0 N6418-0 N25418-0 N19366-0 N3228-0 N28493-0 N1479-0 N11508-0 N23982-0 N622-0 N1325-0 N17743-0 N20105-0 N5830-0 N6505-0 N18106-0 N4840-0 N23543-0 N24931-0 N9528-0 N6889-0 N10795-0 N13049-0
20	U87270	11/14/2019 10:32:10 AM	N3076 N20266 N26459 N1884 N22427 N11723 N10006 N2783 N3847 N17944 N25457 N22980 N16699 N14189 N13565 N26330 N22024 N27610 N5502 N27206 N20911 N21734 N215 N21816 N20903 N19338 N25232 N22711 N19531 N20953 N23993 N4215 N10933 N5115 N25187 N23739 N13671 N24774 N18395 N13024 N27700 N578 N10034 N15633 N12871 N20081 N15585 N8014 N21531 N15336 N6436 N25455 N14828 N6122 N18802 N18930 N27013 N21627 N10069 N21814 N20278 N266 N22599 N7834 N17607 N11625 N10100 N14297 N27165 N28409 N10848 N22668 N17425 N16121 N9177 N20580 N2305 N15877 N14103 N2313 N2706 N26676 N18426 N6793 N5969 N19143 N14649 N24505 N25451 N28155 N12941 N25510 N6197 N21500 N14872 N20886 N16101 N19213 N19446 N21263 N27591 N23948 N17446 N2624 N25437 N4381 N24626 N19667 N2946 N26588 N25170 N13477 N425 N2963 N15106 N12558 N7255 N25554 N20753 N14399 N9814 N24746 N14201 N10541 N24306 N20146 N9524 N3011 N2468 N27910	N17839-0 N13247-0 N25897-0 N18375-1 N22794-0 N3867-0 N13316-0 N22216-0 N17492-0 N25311-0 N12833-0 N7908-0 N9870-1 N13667-0 N2818-0 N6726-0 N2481-0 N16348-0 N15605-0
21	U33585	11/14/2019 10:33:49 AM	N3076 N24628 N11723 N25457 N16699 N21395 N25232 N8619 N26393 N27446 N13717 N14860 N15807 N7850 N11061 N13348 N19434 N17674 N2313 N8067 N13700 N9453 N21474 N25437 N2624 N27304 N16161 N20343 N17774 N20209 N25583	N20105-0 N12833-0 N15467-0 N6726-0 N13667-1 N22043-0 N22216-0 N28493-0 N17492-0 N13552-0 N622-1 N18375-0 N1570-1 N25598-0 N16348-0 N13316-0 N17839-0 N17391-0 N10821-0 N8802-0 N23114-1 N13247-0 N9870-0 N25311-0 N3869-0 N5830-0
22	U57826	11/14/2019 5:45:02 AM	N7452 N25002 N26748 N18780 N17483 N20172 N6270 N1088 N3403 N24536	N2665-0 N1570-0 N9640-0 N23194-0 N4948-0 N26712-0 N13247-0 N11446-0 N16506-0 N9983-0 N15165-0 N24516-0 N21016-0 N13667-0 N2494-0 N8579-0 N18368-0 N18079-0 N2214-0 N6547-0 N10797-0 N6726-0 N11158-0 N23147-0 N26688-0 N8654-0 N10240-0 N25620-0 N10086-0 N13552-0 N8957-0 N14073-0 N26157-0 N21328-1 N27355-0 N26998-0 N9992-0 N13957-0 N8802-0 N26510-0 N4714-0 N3228-0 N9314-0 N25311-0 N12742-0 N22351-0 N10646-0 N18987-0 N16354-0 N28205-0 N19157-0 N10767-0 N21653-0 N8849-0 N6889-0 N12167-0 N23487-0 N6425-0 N2818-0 N18087-0 N7883-0 N24029-0 N3869-0 N12328-0 N26552-0 N6296-0 N23067-0 N25155-0 N24693-0 N8173-0 N26082-0 N2185-0 N15804-0 N11438-0 N4738-0 N22078-0 N407-0 N779-0 N12881-0 N16108-0 N22937-0 N2797-0 N9468-0 N14605-0 N9556-0 N15885-0 N6221-0 N14531-0 N4232-0 N4012-0 N5927-0 N2766-0 N17839-0 N5250-0 N23591-0 N2470-0 N5726-0 N17869-0 N27924-0 N17492-0 N9451-0 N17014-0 N3870-0 N10904-0 N16079-0 N17935-0 N25884-0 N26952-0 N22975-0 N28587-0 N1128-0 N17978-0 N22139-0 N19629-0 N25182-0 N8160-0 N20464-0 N25897-0 N7452-0 N18638-0
24	U51767	11/14/2019 3:03:38 PM	N25852 N22385 N15131 N10270 N22427 N276 N1499 N21382 N26708 N22734 N28442 N20332 N26393 N27525 N21281 N9164 N13857 N594 N11519 N18039 N22599 N9331 N14672 N9726 N545 N14776 N9605 N9240 N303 N20286 N20286 N13944 N2424 N4688 N18426 N25975 N22887 N20682 N16836 N24245 N13700 N8722 N15961 N22568 N7775 N20556 N1902 N27585 N19232 N23231 N8310 N21545 N8741 N12950	N2740-0 N19406-0 N15143-0 N11158-0 N1202-0 N14942-0 N23409-0 N18790-0 N21514-0 N17546-0 N2375-0 N23982-0 N13463-0 N22216-0 N1815-0 N18073-0 N17621-0 N26548-0 N27776-1 N28106-0 N13497-0 N6505-0 N9870-0 N21159-0 N5323-0 N20025-0 N13552-0 N11575-0 N23487-0 N974-0 N622-0 N14980-0 N5830-0 N14490-0
30	U88771	11/14/2019 12:46:38 PM	N20461 N4041 N11283 N16355 N25094 N8305 N2573 N14496 N13975 N1607 N971 N4844 N16714 N11333 N3087 N19711 N10351 N13289 N13692 N13690 N13064 N27568 N21147 N11594 N18233	N4874-0 N14639-0 N17189-0 N19630-0 N6502-0 N11898-0 N6503-0 N25581-0 N10795-0 N22681-0 N14797-1 N2185-0 N11446-0 N18342-0 N25897-0 N5830-0 N9556-0 N9662-0 N13463-0 N17733-0 N26082-0
37	U92961	11/14/2019 2:57:06 PM	N7216 N18359 N22427 N18766 N13565 N4973 N16386 N21440 N21281 N24750 N27995 N4617 N3531 N12574 N14776 N2313 N8573 N1222 N20886 N8148 N18980 N25675 N17446 N15006 N3206 N15344 N26186 N10972 N16639 N14545 N8741 N17737 N20209 N12558	N6011-0 N11790-0 N17621-0 N23982-0 N20025-1 N1202-0 N21159-0 N6505-0
39	U30198	11/14/2019 10:45:17 AM	N28493 N7580 N2907 N17512 N23251 N13036 N18565 N25973 N2923 N16128 N10640 N17970 N28493 N13819 N17283 N11669 N6436 N28159 N21627 N15102 N17955 N12414 N25934 N16208 N17283 N3602 N1376 N13380 N11474 N28008 N20655 N7350 N24390 N12720 N12414 N21899 N13111 N7913 N8573 N4688 N16498 N26676 N19318 N3087 N10917 N16232 N13904 N9748 N8291 N22476 N20293 N11474 N22476 N7260 N14065 N27009 N5311 N17956 N12414 N25370 N21682 N27304 N4661 N939 N20646 N12722 N5396 N18111 N28457 N17272 N10972 N2116 N17893 N21371 N17086 N25547 N4246 N16996 N24753 N13876 N10647	N27776-0 N9870-0 N13216-0 N21873-0 N8787-0 N5182-0 N23543-0 N16348-0 N13422-0 N18368-0 N16354-0 N6221-0 N10378-0 N2307-0 N20741-0 N27918-0 N17935-0 N17492-0 N24231-0 N10646-0 N13247-0 N2702-0 N13667-0 N28418-0 N13552-0 N14797-0 N5726-0 N16343-0 N15165-0 N22216-0 N5617-0 N10992-0 N20820-0 N15467-0 N19549-0 N3710-0 N17978-0 N27981-0 N16034-0 N18375-0 N22560-0 N13957-0 N10372-0 N1570-0 N10729-0 N3050-0 N1248-0 N21201-0 N13316-0 N9528-0 N18892-0 N22794-0 N18045-0 N7736-0 N14332-1 N17272-0 N3228-0 N25311-0 N19677-0 N19793-0 N22379-0 N10537-0 N25345-0 N24753-0 N8802-0 N8849-0 N5083-0 N18342-0 N22532-0 N14639-0 N21830-0 N622-0 N22739-0 N25810-0 N19871-0 N23170-0 N17839-0 N22602-0 N10150-0 N16149-0 N8173-0 N5830-0 N6726-0 N13445-0 N7402-0 N9459-0 N23772-0 N1479-0 N17138-0 N11575-0 N6505-0 N17998-0 N19017-0 N8957-0 N15605-0 N4204-0 N6418-0 N18403-0 N23457-0 N19366-0 N12833-0 N13049-0 N27878-0 N23842-0 N13390-0 N2185-0 N25884-0 N20105-0 N10795-0 N2230-0 N25182-0 N26482-0 N4738-0 N106-0 N4022-0 N23982-0 N26998-0 N1756-0 N25418-0 N24173-0 N23114-1 N23067-0 N25528-0 N9133-0 N17157-0 N11644-0 N16349-0 N19925-0 N18106-0 N3990-0 N23149-0 N13646-0
47	U53425	11/14/2019 10:57:20 AM	N27983 N68 N18770 N3265 N12285 N18770 N19700 N25998 N23029 N20958 N10583 N22055 N7131 N603 N7076 N15425 N13996 N4381 N16639 N14399 N20753 N22194 N2468 N14201	N21873-0 N12833-0 N13667-0 N13422-0 N13552-0 N22216-1 N25311-0 N25418-0 N6502-0 N18375-0
68	U9603	11/14/2019 2:20:04 PM	N4202 N8177 N25405 N2097 N5505 N2863 N27609 N13291 N26708 N22711 N16801 N24112 N24774 N2001 N12162 N4958 N266 N10382 N18015 N22599 N11625 N2313 N7390 N7370 N26145 N19853 N24136 N7654 N425 N4381 N27079 N5229 N11648 N21143 N3590	N2375-0 N22216-0 N22931-0 N11790-0 N28058-0 N21159-0 N14942-0 N26548-1 N974-0 N6505-0 N24064-0 N20025-0 N17492-0 N8948-0 N11575-0 N19596-0 N6011-0 N13552-0 N13422-0 N622-0 N2740-1 N18790-0 N9870-0 N17138-0 N7678-0 N1228-0 N23982-0 N22662-0 N11158-0 N14490-0 N19904-0 N13075-0 N13247-0 N4298-0 N25728-0 N1202-0 N13316-0 N13463-0 N28404-0 N8849-1 N22019-0
